Model,Dataset,Total,Correct,Accuracy
zero/Gemma-zero,gap-test_one_300.csv,2300,1888,82.09%
zero/Gemma-zero,gap-test_one_90.csv,2090,1708,81.72%
zero/Gemma-zero,gap-test_one_distance.csv,2154,1753,81.38%
zero/Gemma-zero,gap-test_one_number.csv,2143,1742,81.29%
zero/Gemma-zero,gap-test_npe_300.csv,2300,1899,82.57%
zero/Gemma-zero,gap-test_npe_90.csv,2090,1710,81.82%
zero/Gemma-zero,gap-test_npe_distance.csv,2164,1766,81.61%
zero/Gemma-zero,gap-test.csv,2000,1631,81.55%
zero/Gemma-zero,wsc.csv,273,224,82.05%
,,,,
zero/LLaMA-zero,gap-test_one_300.csv,2300,1482,64.43%
zero/LLaMA-zero,gap-test_one_90.csv,2090,1346,64.4%
zero/LLaMA-zero,gap-test_one_distance.csv,2154,1363,63.28%
zero/LLaMA-zero,gap-test_one_number.csv,2143,1349,62.95%
zero/LLaMA-zero,gap-test_npe_300.csv,2300,1455,63.26%
zero/LLaMA-zero,gap-test_npe_90.csv,2090,1328,63.54%
zero/LLaMA-zero,gap-test_npe_distance.csv,2164,1358,62.75%
zero/LLaMA-zero,gap-test.csv,2000,1267,63.35%
zero/LLaMA-zero,wsc.csv,273,235,86.08%
,,,,
zero/GPT-zero,gap-test_one_300.csv,2300,1942,84.43%
zero/GPT-zero,gap-test_one_90.csv,2090,1751,83.78%
zero/GPT-zero,gap-test_one_distance.csv,2154,1795,83.33%
zero/GPT-zero,gap-test_one_number.csv,2143,1785,83.29%
zero/GPT-zero,gap-test_npe_300.csv,2300,1952,84.87%
zero/GPT-zero,gap-test_npe_90.csv,2090,1756,84.02%
zero/GPT-zero,gap-test_npe_distance.csv,2164,1815,83.87%
zero/GPT-zero,gap-test.csv,2000,1670,83.5%
zero/GPT-zero,wsc.csv,273,204,74.73%
,,,,
